iter	Passed	Remaining
1274	116174	66059
1275	116253	65962
1276	116331	65863
1277	116425	65773
1278	116506	65677
1279	116584	65578
1280	116676	65488
1281	116753	65389
1282	116836	65293
1283	116952	65216
1284	117028	65117
1285	117107	65019
1286	117201	64929
1287	117278	64830
1288	117360	64734
1289	117450	64643
1290	117532	64547
1291	117616	64452
1292	117709	64362
1293	117787	64264
1294	117865	64166
1295	117962	64078
1296	118058	63989
1297	118136	63892
1298	118220	63797
1299	118295	63697
1300	118377	63601
1301	118466	63509
1302	118544	63411
1303	118632	63319
1304	118717	63224
1305	118797	63128
1306	118878	63031
1307	118968	62940
1308	119056	62848
1309	119152	62759
1310	119242	62668
1311	119321	62571
1312	119403	62475
1313	119490	62382
1314	119568	62284
1315	119657	62192
1316	119750	62103
1317	119835	62009
1318	119921	61915
1319	120014	61825
1320	120096	61730
1321	120203	61647
1322	120298	61558
1323	120378	61462
1324	120452	61362
1325	120541	61270
1326	120639	61183
1327	120717	61085
1328	120809	60995
1329	120895	60902
1330	120973	60805
1331	121057	60710
1332	121142	60616
1333	121229	60523
1334	121336	60440
1335	121416	60344
1336	121494	60247
1337	121586	60157
1338	121677	60066
1339	121754	59968
1340	121848	59879
1341	121934	59785
1342	122014	59690
1343	122106	59599
1344	122191	59505
1345	122267	59407
1346	122369	59322
1347	122464	59233
1348	122543	59136
1349	122635	59046
1350	122716	58950
1351	122796	58855
1352	122886	58763
1353	123015	58691
1354	123110	58602
1355	123197	58509
1356	123274	58412
1357	123362	58320
1358	123443	58224
1359	123546	58139
1360	123638	58049
1361	123719	57953
1362	123806	57861
1363	123903	57773
1364	123984	57677
1365	124059	57579
1366	124152	57489
1367	124231	57393
1368	124305	57294
1369	124394	57203
1370	124468	57104
1371	124553	57011
1372	124667	56931
1373	124744	56834
1374	124823	56737
1375	124908	56644
1376	124985	56547
1377	125064	56451
1378	125150	56358
1379	125234	56264
1380	125309	56167
1381	125395	56074
1382	125474	55977
1383	125549	55880
1384	125645	55792
1385	125749	55707
1386	125829	55611
1387	125919	55520
1388	125997	55424
1389	126077	55328
1390	126164	55236
1391	126239	55139
1392	126316	55042
1393	126394	54946
1394	126476	54851
1395	126555	54756
1396	126650	54667
1397	126727	54570
1398	126827	54484
1399	126918	54393
1400	126997	54298
1401	127072	54200
1402	127159	54108
1403	127239	54013
1404	127315	53916
1405	127404	53825
1406	127483	53729
1407	127572	53638
1408	127664	53548
1409	127740	53451
1410	127818	53356
1411	127917	53268
1412	128007	53177
1413	128085	53082
1414	128176	52991
1415	128253	52895
1416	128328	52798
1417	128414	52706
1418	128494	52611
1419	128581	52519
1420	128668	52427
1421	128749	52332
1422	128825	52236
1423	128913	52144
1424	129008	52056
1425	129107	51968
1426	129190	51875
1427	129268	51779
1428	129350	51685
1429	129437	51593
1430	129514	51498
1431	129600	51405
1432	129684	51312
1433	129762	51217
1434	129844	51123
1435	129930	51031
1436	130009	50936
1437	130099	50845
1438	130206	50761
1439	130288	50667
1440	130370	50574
1441	130459	50482
1442	130540	50388
1443	130625	50296
1444	130708	50202
1445	130786	50107
1446	130867	50013
1447	130947	49919
1448	131028	49825
1449	131113	49732
1450	131220	49648
1451	131315	49559
1452	131396	49465
1453	131482	49373
1454	131567	49281
1455	131644	49185
1456	131744	49098
1457	131821	49003
1458	131909	48912
1459	131992	48819
1460	132066	48722
1461	132146	48628
1462	132235	48537
1463	132334	48450
1464	132425	48360
1465	132508	48267
1466	132598	48176
1467	132680	48083
1468	132770	47992
1469	132853	47899
1470	132936	47806
1471	133023	47715
1472	133108	47622
1473	133186	47527
1474	133279	47438
